Summary,Tokens,Entities,Density
1,209,15,0.07177033492822966
1,96,10,0.10416666666666667
1,201,16,0.07960199004975124
1,164,17,0.10365853658536585
1,100,9,0.09
1,173,11,0.06358381502890173
1,160,13,0.08125
1,161,13,0.08074534161490683
1,147,13,0.08843537414965986
2,140,10,0.07142857142857142
2,128,14,0.109375
2,124,13,0.10483870967741936
2,126,16,0.12698412698412698
2,90,8,0.08888888888888889
2,136,18,0.1323529411764706
2,161,21,0.13043478260869565
2,119,13,0.1092436974789916
2,124,10,0.08064516129032258
2,151,13,0.08609271523178808
2,157,15,0.09554140127388536
3,138,15,0.10869565217391304
3,140,12,0.08571428571428572
3,129,12,0.09302325581395349
3,182,17,0.09340659340659341
3,137,11,0.08029197080291971
3,151,18,0.11920529801324503
3,137,15,0.10948905109489052
3,122,15,0.12295081967213115
3,136,11,0.08088235294117647
3,122,11,0.09016393442622951
