Summary,Tokens,Entities,Density
1,17,3,0.17647058823529413
2,74,9,0.12162162162162163
3,74,9,0.12162162162162163
4,73,9,0.1232876712328767
5,87,9,0.10344827586206896
1,88,13,0.14772727272727273
2,100,11,0.11
3,100,11,0.11
4,107,12,0.11214953271028037
5,105,11,0.10476190476190476
1,106,11,0.10377358490566038
2,221,17,0.07692307692307693
3,231,16,0.06926406926406926
4,246,18,0.07317073170731707
5,233,20,0.08583690987124463
1,186,14,0.07526881720430108
2,98,10,0.10204081632653061
3,85,7,0.08235294117647059
4,88,10,0.11363636363636363
5,85,5,0.058823529411764705
1,84,5,0.05952380952380952
2,247,24,0.09716599190283401
3,217,14,0.06451612903225806
4,175,15,0.08571428571428572
5,160,19,0.11875
1,101,8,0.07920792079207921
2,64,6,0.09375
3,57,7,0.12280701754385964
4,56,6,0.10714285714285714
5,65,6,0.09230769230769231
1,91,9,0.0989010989010989
2,144,13,0.09027777777777778
3,169,17,0.10059171597633136
4,124,12,0.0967741935483871
5,120,6,0.05
1,128,11,0.0859375
2,126,11,0.0873015873015873
3,115,14,0.12173913043478261
4,111,10,0.09009009009009009
5,107,11,0.102803738317757
1,120,10,0.08333333333333333
2,69,11,0.15942028985507245
3,86,14,0.16279069767441862
4,98,14,0.14285714285714285
5,94,14,0.14893617021276595
1,98,14,0.14285714285714285
2,130,9,0.06923076923076923
3,105,11,0.10476190476190476
4,90,6,0.06666666666666667
5,105,9,0.08571428571428572
1,104,15,0.14423076923076922
2,73,9,0.1232876712328767
3,54,10,0.18518518518518517
4,43,7,0.16279069767441862
5,40,5,0.125
1,34,5,0.14705882352941177
2,30,5,0.16666666666666666
3,44,6,0.13636363636363635
4,20,3,0.15
5,15,2,0.13333333333333333
1,24,4,0.16666666666666666
2,94,10,0.10638297872340426
3,95,11,0.11578947368421053
4,99,11,0.1111111111111111
5,110,13,0.11818181818181818
1,132,17,0.12878787878787878
2,66,12,0.18181818181818182
3,59,11,0.1864406779661017
4,58,11,0.1896551724137931
5,58,11,0.1896551724137931
1,55,10,0.18181818181818182
2,21,3,0.14285714285714285
3,20,3,0.15
4,32,3,0.09375
5,28,3,0.10714285714285714
1,15,3,0.2
2,15,2,0.13333333333333333
3,14,2,0.14285714285714285
4,18,2,0.1111111111111111
5,10,2,0.2
1,18,3,0.16666666666666666
2,57,8,0.14035087719298245
3,58,10,0.1724137931034483
4,55,8,0.14545454545454545
5,28,4,0.14285714285714285
1,22,3,0.13636363636363635
2,22,4,0.18181818181818182
3,30,5,0.16666666666666666
4,27,4,0.14814814814814814
5,10,3,0.3
1,15,4,0.26666666666666666
2,6,1,0.16666666666666666
3,9,1,0.1111111111111111
4,12,1,0.08333333333333333
5,6,1,0.16666666666666666
1,20,3,0.15
2,5,1,0.2
3,11,1,0.09090909090909091
4,18,3,0.16666666666666666
5,23,5,0.21739130434782608
1,75,13,0.17333333333333334
2,84,8,0.09523809523809523
3,100,11,0.11
4,75,10,0.13333333333333333
5,82,9,0.10975609756097561
1,38,8,0.21052631578947367
2,41,4,0.0975609756097561
3,72,8,0.1111111111111111
4,52,6,0.11538461538461539
5,44,7,0.1590909090909091
1,45,6,0.13333333333333333
2,51,3,0.058823529411764705
3,69,9,0.13043478260869565
4,61,5,0.08196721311475409
5,71,10,0.14084507042253522
1,75,11,0.14666666666666667
2,74,9,0.12162162162162163
3,81,11,0.13580246913580246
4,83,10,0.12048192771084337
5,77,13,0.16883116883116883
1,252,29,0.11507936507936507
2,256,25,0.09765625
3,255,25,0.09803921568627451
4,256,25,0.09765625
5,258,28,0.10852713178294573
1,233,26,0.11158798283261803
2,205,26,0.12682926829268293
3,205,26,0.12682926829268293
4,205,26,0.12682926829268293
5,211,26,0.12322274881516587
1,63,9,0.14285714285714285
2,111,11,0.0990990990990991
3,74,4,0.05405405405405406
4,59,9,0.15254237288135594
5,65,6,0.09230769230769231
1,131,22,0.16793893129770993
2,131,22,0.16793893129770993
3,131,22,0.16793893129770993
4,131,22,0.16793893129770993
5,131,22,0.16793893129770993
1,187,18,0.0962566844919786
2,206,21,0.10194174757281553
3,213,21,0.09859154929577464
4,213,21,0.09859154929577464
5,226,21,0.09292035398230089
1,81,11,0.13580246913580246
2,80,9,0.1125
3,79,10,0.12658227848101267
4,84,12,0.14285714285714285
5,84,12,0.14285714285714285
