Summary,Density,Fusion,Content Distribution
1,275.6666666666667,0.9791879795396419,9.885057471264368
2,367.6,0.8610356280193237,9.728571428571428
3,363.8,0.8189073226544623,9.898550724637682
4,256.4,0.9977525335076822,9.656716417910447
5,229.0,1.0297649572649574,9.759036144578314
1,230.5,1.5508333333333333,14.7421875
2,319.0,1.3245798319327733,14.611650485436893
3,270.3333333333333,1.554309116809117,14.612903225806452
4,245.66666666666666,1.5978463203463202,14.582677165354331
5,291.1666666666667,1.3681567890314021,14.603174603174603
1,372.0,1.263068181818182,14.453703703703704
2,297.5,1.5894736842105264,14.688311688311689
3,212.25,2.0018115942028984,14.833333333333334
4,344.75,1.3013415892672857,14.632911392405063
5,277.0,1.4673494397759104,14.718446601941748
1,175.83333333333334,2.034761904761905,14.723577235772357
2,130.4,2.3995535714285716,14.289156626506024
3,220.0,1.591124871001032,14.615384615384615
4,420.75,1.2444444444444445,14.525
5,213.16666666666666,1.7753894540272248,14.819672131147541
1,288.75,1.9044217687074834,14.472049689440993
2,290.42857142857144,1.9801767676767679,14.5
3,233.0,2.0711966785650997,14.635036496350365
4,204.85714285714286,2.0510504201680675,14.351145038167939
5,430.3333333333333,1.7708369565217392,14.139130434782608
1,347.8333333333333,1.2314839572192513,14.42056074766355
2,508.75,1.1601887601887604,14.368421052631579
3,243.5,1.4102740511409244,14.697368421052632
4,443.0,1.1619683257918552,14.657142857142857
5,534.6,1.009252070393375,14.728155339805825
1,191.11111111111111,1.5566925125313282,14.579617834394904
2,217.125,1.815226926010679,14.271428571428572
3,260.0,1.259546000218269,14.300751879699249
4,219.375,1.2888941940412528,14.450381679389313
5,286.7142857142857,1.157857142857143,14.54368932038835
1,216.42857142857142,1.7013227513227511,14.741258741258742
2,277.5,1.537450980392157,14.6
3,271.7142857142857,1.4945967860828542,14.73076923076923
4,444.4,1.1718484719864175,14.728155339805825
5,245.6,1.431888544891641,14.79
1,32.0,0.875,11.571428571428571
2,32.0,1.375,12.909090909090908
3,72.0,1.9166666666666667,13.73913043478261
4,32.0,3.25,14.538461538461538
