Summary,Density,Fusion,Content Distribution
1,200.6,0.2810378959276018,9.833333333333334
2,276.75,0.35555555555555557,10.909090909090908
3,555.0,0.42234848484848486,12.652173913043478
4,437.6666666666667,0.2554347826086957,15.923076923076923
5,292.25,0.2589605734767025,15.666666666666666
1,200.0,0.3802759740259741,11.421052631578947
2,427.3333333333333,0.32348111658456485,12.61111111111111
3,492.0,0.29583333333333334,14.125
4,283.3333333333333,0.4,14.625
5,194.25,0.3609848484848485,15.133333333333333
1,345.6666666666667,0.30650086755349915,11.620689655172415
2,396.0,0.4814814814814815,12.552631578947368
3,496.25,0.2903174603174603,13.217391304347826
4,506.25,0.24917898193760266,12.31578947368421
5,512.25,0.4175,12.6
1,440.0,0.2035714285714286,9.733333333333333
2,444.5,0.3793176328502416,12.04
3,389.0,0.2222222222222222,13.647058823529411
4,404.75,0.423629002576371,14.26086956521739
5,315.25,0.3199023199023199,12.294117647058824
1,452.75,0.5460931899641577,11.257142857142858
2,466.25,0.6055555555555555,12.13953488372093
3,444.25,0.4383333333333333,12.21875
4,367.25,0.3639870931537598,14.0
5,378.25,0.3657952069716776,13.956521739130435
1,447.0,0.419047619047619,10.05
2,372.3333333333333,0.3498168498168498,11.941176470588236
3,280.3333333333333,0.34404761904761905,16.214285714285715
4,328.3333333333333,0.12962962962962962,17.285714285714285
5,267.3333333333333,0.38471177944862156,13.666666666666666
1,279.6,0.3734472049689441,11.36
2,377.0,0.46031746031746024,13.0
3,238.0,0.3719405594405594,14.8
4,242.4,0.2959112072922815,14.736842105263158
5,254.0,0.25936234817813764,14.052631578947368
1,155.42857142857142,0.3895497618323705,10.636363636363637
2,179.0,0.27943061840120664,9.19047619047619
3,225.83333333333334,0.47988795518207283,13.225806451612904
4,424.2,0.25811011904761905,11.523809523809524
5,328.8,0.354042994042994,13.083333333333334
1,423.5,0.4634657281716105,11.575757575757576
2,274.0,0.16402116402116404,11.222222222222221
3,281.5,0.3312447786131997,13.210526315789474
4,593.6666666666666,0.03470588235294118,12.0
5,384.5,0.2148672687465791,11.545454545454545
1,470.75,0.38013955984970477,11.344827586206897
2,189.8,0.24097222222222223,10.428571428571429
3,271.5,0.2742181540808543,9.785714285714286
4,728.6666666666666,0.25944700460829495,12.235294117647058
5,405.0,0.2722222222222222,12.6
1,598.75,0.18024691358024691,12.0
2,634.5,0.16749482401656313,10.857142857142858
3,390.8,0.20311004784688996,9.666666666666666
4,528.4,0.19012226512226513,15.4
5,598.5,0.16560469765117444,15.214285714285714
1,321.5,0.12464985994397759,3.2
2,213.5,0.09903381642512077,3.75
3,283.3333333333333,0.08666666666666667,4.666666666666667
4,137.25,0.06666666666666667,4.333333333333333
5,267.0,0.11666666666666667,4.8
1,573.5,0.12025081035124076,4.25
2,218.25,0.06506238859180036,3.25
3,240.5,0.09199905033238366,4.25
4,103.4,0.13345588235294117,4.6
5,124.6,0.12074314574314574,4.5
1,408.3333333333333,0.10714285714285714,3.4
2,413.6666666666667,0.1267241379310345,3.5
3,968.0,0.09090909090909091,4.0
4,1104.5,0.0851063829787234,4.5
5,339.0,0.08630952380952381,4.0
1,302.75,0.09286549707602339,2.0
2,493.3333333333333,0.0718954248366013,2.0
3,386.6666666666667,0.10664335664335664,3.0
4,381.6666666666667,0.09232954545454546,4.0
5,339.3333333333333,0.12200435729847495,4.666666666666667
1,246.5,0.11286549707602339,2.3333333333333335
2,118.8,0.12193362193362192,3.0
3,224.75,0.06820119352088662,5.25
4,119.83333333333333,0.21616161616161614,5.5
5,205.6,0.13507625272331153,3.8333333333333335
1,658.5,0.10809523809523809,2.5555555555555554
2,797.6666666666666,0.08741554054054054,2.5
3,481.0,0.101010101010101,3.0
4,434.0,0.10811546840958607,4.714285714285714
5,491.25,0.07823275862068965,5.8
1,583.5,0.08372294372294371,2.5714285714285716
2,264.0,0.05657142857142857,4.2
3,408.5,0.11052672588436964,4.75
4,362.5,0.13809523809523808,3.625
5,478.5,0.13025210084033614,4.222222222222222
1,270.0,0.1279220779220779,3.857142857142857
2,338.75,0.08780707685373,4.5
3,349.5,0.08912655971479501,4.428571428571429
4,258.0,0.07980769230769232,5.0
5,261.5,0.10984126984126984,4.333333333333333
1,460.75,0.0742447516641065,3.4
2,1016.6666666666666,0.07844429795649308,3.5
3,535.25,0.08409961685823754,3.0
4,595.5,0.0989247311827957,3.142857142857143
5,702.25,0.09511784511784512,3.75
1,50.07692307692308,1.1163207163207163,10.208333333333334
2,46.142857142857146,1.239776462853386,10.865384615384615
3,58.5,1.1914075823166732,10.509803921568627
4,51.76923076923077,1.3352336389101094,11.150943396226415
5,50.07692307692308,1.1308802308802308,10.169811320754716
1,190.71428571428572,0.762174204001127,10.80232558139535
2,168.33333333333334,0.7412470379861685,10.709302325581396
3,186.69230769230768,0.7744240593378525,10.844155844155845
4,168.42857142857142,0.7651192824269748,10.635294117647058
5,180.73333333333332,0.7647078982094511,11.010526315789473
1,207.5625,0.8049038706391648,10.941176470588236
2,207.5625,0.8049038706391648,10.941176470588236
3,216.11764705882354,0.7664029342797725,10.867924528301886
4,207.21052631578948,0.7448272996067113,10.739495798319327
5,220.94736842105263,0.7316694048698692,10.756302521008404
1,48.833333333333336,0.8721988795518205,10.80952380952381
2,44.2,1.093191311612364,11.0
3,36.421052631578945,0.8550925925925925,11.25974025974026
4,35.1,0.8370509607351713,10.928571428571429
5,33.55,0.7850877192982456,10.914285714285715
1,259.6,0.9198717948717949,10.0
2,222.66666666666666,1.0507556959169864,10.045454545454545
3,161.14285714285714,0.9335093011563599,9.529411764705882
4,79.16666666666667,1.0455944055944058,10.512820512820513
5,59.57142857142857,1.4373219373219375,11.137254901960784
1,154.25,1.0490196078431373,10.583333333333334
2,217.25,0.9795751633986928,10.227272727272727
3,289.4,0.8487212276214834,10.030303030303031
4,79.25,1.1140819964349375,11.270833333333334
5,124.16666666666667,0.9766339869281045,11.64102564102564
1,61.391304347826086,1.1448526518045234,11.0
2,61.391304347826086,1.1448526518045234,11.0
3,61.391304347826086,1.1448526518045234,11.0
4,66.38095238095238,1.1599728376198963,11.066666666666666
5,66.38095238095238,1.1599728376198963,11.066666666666666
1,236.14285714285714,0.7502823565323565,33.96969696969697
2,158.0,1.2850529100529102,29.421875
3,230.66666666666666,0.8008547008547009,33.125
4,225.57142857142858,0.8943443754313319,31.50877192982456
5,191.71428571428572,1.2736383442265793,35.544117647058826
1,206.83333333333334,1.1271739130434784,30.03125
2,203.0,1.2375362318840577,29.346938775510203
3,329.5,0.943623426382047,29.125
4,323.25,1.1151477832512315,32.317460317460316
5,269.6,1.026048026048026,34.94230769230769
1,314.0,1.2805407011289365,30.907894736842106
2,138.16666666666666,1.614423076923077,30.151898734177216
3,226.8,0.7090389016018307,31.97826086956522
4,205.66666666666666,0.9078754578754579,32.679245283018865
5,250.8,0.6490196078431373,34.63636363636363
